Jaar,West-Europa,Western Offshoots,China,Japan,Latijns-Amerika,Afrika
1750,6.98394133862698,6.55138629625798,6.39692965521615,6.4123645688701,6.38069446815651,6.041641949347
1760,6.99957895109009,6.6285799846633,6.39692965521615,6.4257102104784,6.40339325207954,6.04144377247992
1770,7.01521656355319,6.70577367306861,6.39692965521615,6.4390558520867,6.42609203600257,6.04124559561284
1780,7.0308541760163,6.78296736147392,6.39692965521615,6.452401493695,6.4487908199256,6.04104741874577
1790,7.0464917884794,6.86016104987923,6.39692965521615,6.4657471353033,6.47148960384863,6.04084924187869
1800,7.06212940094251,6.93735473828455,6.39692965521615,6.4790927769116,6.49418838777166,6.04065106501161
1810,7.07776701340561,7.01454842668986,6.39692965521615,6.4924384185199,6.51688717169469,6.04045288814454
1820,7.09340462586877,7.09174211509515,6.39692965521615,6.50578406012823,6.53958595561767,6.04025471127741
1830,7.18272822690496,7.19142933003638,6.39692965521615,6.52514482654045,6.53638122572403,6.07512538870637
1840,7.27205182794116,7.34083555412327,6.39692965521615,6.54450559295267,6.5331764958304,6.10999606613532
1850,7.36137542897735,7.47477218239787,6.39692965521615,6.56386635936489,6.52997176593676,6.14486674356428
1860,7.47103759060096,7.66715825531915,6.33490333088115,6.58322712577711,6.52676703604313,6.17973742099324
1870,7.58069975222456,7.79110951061003,6.27287700654617,6.60258789218934,6.52356230614951,6.21460809842219
1880,7.70036887084166,7.95892649305011,6.28222307305225,6.76041469108343,6.6864133022018,6.27092473961986
1890,7.82003798945875,8.12326131912175,6.29156913955832,6.91968384984741,6.84926429825409,6.32724138081752
1900,7.97004930497614,8.29779262638086,6.30078579466324,7.07326971745971,7.01211529430638,6.38355802201519
1910,8.1072772751816,8.50025047068593,6.31060291128928,7.1731917424866,7.23392877119978,6.43987466321285
1920,8.06124545637283,8.59359852261864,6.32140283535935,7.43602781635185,7.39998071287098,6.52089270522647
1930,8.29754352935628,8.70417055974639,6.34035930372775,7.52294091807237,7.54213485373266,6.61249706187548
1940,8.42244285487043,8.83025057019925,6.2903347770906,7.96346006663897,7.68428899459434,6.70410141852449
1950,8.4292359126571,9.13432288555227,6.08449941307517,7.56060116276856,7.82644313545601,6.79570577517351
1960,8.83869681234353,9.30209879721572,6.51174532964473,8.29054350077274,8.04974629095219,6.97166860472579
1970,9.22965268300856,9.58603332175068,6.6631326959908,9.18132342290569,8.29054350077274,7.21303165983487
1980,9.48774481001683,9.80145482697098,6.97260625130175,9.50509735809993,8.59637398929068,7.33693691370762
1990,9.67821674020574,10.0143578613676,7.52725591937378,9.84102687119352,8.52773740529191,7.27517231945277
2000,9.8522995157667,10.2059966592311,8.13885675069633,9.95555804482713,8.67214355141406,7.28892769452126
2010,9.98934273145843,10.2943292559821,8.99118195375843,9.9958344092754,8.8198183673161,7.59240647062082
2015,10.0099632751786,10.3593303247364,9.34516171320633,10.0535147855768,8.86674663893681,7.61367764992196