Jaar,Zweden,Frankrijk,Verenigd Koninkrijk,Verenigde Staten
1870,0.0777777777777778,0.08,0.075,0.0662222222222222
1880,0.0777777777777778,0.08,0.0888888888888889,0.0612222222222222
1890,0.0955555555555555,0.0884090341660371,0.0844444444444444,0.0662222222222222
1900,0.0911111111111111,0.0880109760507328,0.0972222222222222,0.0612222222222222
1910,0.107407407407407,0.0757625479826573,0.107777777777778,0.0721
1920,0.126111111111111,0.138956979270702,0.213888888888889,0.112077777777778
1930,0.149444444444444,0.187307607212448,0.205555555555556,0.165588888888889
1940,0.212368398206249,0.21282256615234,0.295,0.238488888888889
1950,0.277370670288496,0.310271867983018,0.36196644943632,0.2691
1960,0.372305014620105,0.352337970828711,0.354623235113651,0.284144444444444
1970,0.471123558778486,0.38938893680191,0.376036770882488,0.297166666666667
1980,0.541538664731685,0.462991199299562,0.406415437163963,0.3073
1990,0.546333592486071,0.483225831544601,0.379970127995403,0.306533333333333
2000,0.546403376137472,0.493714476313915,0.395613052045935,0.300839506172839
2010,0.53628623474566,0.493141482448937,0.400905327607167,0.3085