Jaar,Diensten,Industrie,Landbouw
1970,53.0337313563694,43.5512175053701,3.65269483289439
1971,53.3382697766259,43.3301554979637,3.56976428483278
1972,53.4465384004513,42.6739562624254,4.04835176270202
1973,53.7220950818256,42.6009086940042,3.86139537784687
1974,53.8800827015851,43.5129864118415,2.9164528837549
1975,56.7355836746098,40.4267364659692,3.03449587894919
1976,57.442051683001,39.5735352794555,3.14182213513439
1977,58.8877276799044,38.7595401612422,2.54473275604658
1978,59.8336348805345,37.7373676735842,2.58428591677297
1979,60.489007097698,37.3936896139948,2.29318714039795
1980,61.5970065275263,36.315264766114,2.23335456788879
1981,63.8671730175371,33.8253408913312,2.36427146277831
1982,63.8662187468367,33.7196430981543,2.45963449404461
1983,63.9631564952661,33.5137266852498,2.55470308393559
1984,64.8737302321665,32.7331160576266,2.41530686303851
1985,64.3509524800961,33.4681683578042,2.24401161800309
1986,65.4191670706621,32.4517907915253,2.16829247520342
1987,66.6585427426897,31.3839594047254,1.98175768901619
1988,65.9743280668959,32.1367728940749,1.93991166407095
1989,65.2685683140788,32.5527839966332,2.21410056952834
1990,66.0876031568308,31.9784327747137,1.97551725099243
1991,68.1349042346482,29.9705702741881,1.88109860284366
1992,68.803749898599,29.4041322246036,1.77073372028362
1993,69.9174735758113,28.3446372126951,1.69157029048729
1994,70.007746288078,28.3099736320933,1.64062183995329
1995,69.5994074213668,28.9601344294991,1.44045814913403
1996,69.7574706281893,28.7724701180026,1.47005925380811
1997,69.3423877513534,29.1736370477317,1.48397520091486
1998,70.017669416776,28.5920001751238,1.39033040810024
1999,71.0415572199103,27.7627111806681,1.19573159942166
2000,70.8829362281654,27.8085842745573,1.30847949727731
2001,71.7451520062766,27.0254196690929,1.22942832463044
2002,72.3887285241206,26.466053450537,1.14521802534241
2003,73.1339684736028,25.7251508691251,1.14088065727208
2004,73.3313062032428,25.5314288795638,1.13726491719348
2005,73.962494093247,25.1014022523939,0.936103654359076
2006,74.0392042101829,24.9495760827178,1.01121970709924
2007,74.0408410315759,24.9685429823818,0.990615986042339
2008,74.8982678083384,24.3110601346082,0.790672057053306
2009,76.3928183433974,22.8825411936926,0.724640462910002
2010,75.9712397219644,23.1762908391998,0.852469438835869
2011,76.2716759857298,23.0096015154678,0.718722498802424
2012,76.6716835151244,22.4514736727946,0.876842812081048
2013,76.9842609145807,22.2450175933627,0.770721492056503
2014,77.2961115025812,21.988251434259,0.715637063159839
2015,77.0736906004707,22.1790727460062,0.747236653523105