Jaar,Consumptie,Investeringen,Overheidsconsumptie,Handelsbalans
1960,0.604393048217193,0.24149137673213,0.150878941946632,-0.00807297378127804
1961,0.592672791448669,0.265802187898966,0.144885723583748,-0.00899817257866673
1962,0.58189907504976,0.266813019552746,0.149326776724037,-0.00174159934433907
1963,0.586332814523766,0.263792897025371,0.157863230188186,-0.0106577271787281
1964,0.560002333869799,0.299727228967214,0.152046755191645,-0.00482138602692702
1965,0.561501501233554,0.290315816711205,0.155227103399971,-0.00190765963711638
1966,0.55839714797379,0.299284084912599,0.159371091656244,-0.00834292457338026
1967,0.550057372346529,0.292626102867067,0.163499558077871,0.0022103859453257
1968,0.556975930565173,0.280621549014418,0.165070859633031,0.00251643240146904
1969,0.543945376338463,0.290964477623648,0.16541046190856,0.0084265953691477
1970,0.523883295362681,0.305266406996399,0.163116043213052,0.0228088483868597
1971,0.532617945746172,0.285044671199976,0.17367330453412,0.0217669100821561
1972,0.53388502166188,0.260772525921238,0.180234143017086,0.0355376527284233
1973,0.533566391623611,0.270767464377212,0.18300645194458,0.0243747268848161
1974,0.524345828739434,0.292183020948181,0.187787578096288,0.00988423373759647
1975,0.535041963005057,0.264776387558503,0.209062288551288,0.00311517202929552
1976,0.528102284338584,0.267841391737722,0.211481079318687,0.00562860794205751
1977,0.537877034533242,0.26885441784361,0.215739913451602,-0.00973938598002067
1978,0.538119535177301,0.261370980518386,0.224354154459748,-0.011751333435599
1979,0.550366598253715,0.25645145059641,0.226598206909786,-0.0214365783850955
1980,0.55247683930486,0.26596148665535,0.226908275749403,-0.0321301564530246
1981,0.56833463353022,0.226083600596027,0.239136132677869,-0.0242290657982177
1982,0.576431681514158,0.216323276708797,0.235748029393646,-0.0201876295698709
1983,0.581692492562772,0.187884406799494,0.232344853348215,0.00301539652464299
1984,0.570598414215243,0.198490530197311,0.231644212352192,0.00510710337260443
1985,0.578319085618673,0.190067359716868,0.226539054770602,0.00996413069618097
1986,0.569672848865665,0.185944939462746,0.225088721615444,0.0233572468833305
1987,0.566362552030652,0.196652484881795,0.223442965196835,0.0187403870087752
1988,0.553281672858079,0.218949420920812,0.209767527861357,0.0250054630112118
1989,0.547269234537403,0.235624400848764,0.202947483037742,0.0227506947984061
1990,0.547083662510314,0.243842221940233,0.200580910873395,0.0179875362045948
1991,0.553122666080198,0.228757910906641,0.206986381351192,0.0192239636419252
1992,0.546643518641567,0.22627637508731,0.207959064992723,0.0267272512712455
1993,0.541838319922788,0.219660082682591,0.211270019044866,0.0339814093201138
1994,0.538342194999758,0.220469641385329,0.209357665084349,0.0384927870100067
1995,0.535801201989643,0.218246463638348,0.211312671360078,0.0346396630119301
1996,0.539990756794404,0.216706399484307,0.215048086897247,0.028254756824042
1997,0.533220751369548,0.22295300189805,0.209557783887768,0.0342684628446329
1998,0.534167826632823,0.224164739075848,0.208567032397172,0.0331004018941565
1999,0.524712356587751,0.227126923423387,0.210158623569972,0.0380020964188907
2000,0.527076701442944,0.237818233922749,0.208744026457854,0.0263610381764528
2001,0.527829280736104,0.225921071047495,0.212786938782881,0.0334627094335193
2002,0.519143649994129,0.206645990349194,0.219163754325794,0.0550466053308835
2003,0.515858355166442,0.208606814760302,0.223516070995784,0.0520187590774723
2004,0.507678329675392,0.224948009914606,0.220352595219189,0.0470210651908133
2005,0.506166672231483,0.236092561724511,0.221078474178826,0.0366622918651808
2006,0.504952059023682,0.238841604214263,0.218922550243815,0.0372837865182401
2007,0.50147905863582,0.244474453348805,0.215865975269246,0.038180512746129
2008,0.512312255995282,0.257304643005723,0.225543888863627,0.00483921213536802
2009,0.520514729725894,0.21664419316299,0.240213130814714,0.022627946296402
2010,0.519563517442458,0.226920532839588,0.23554856813398,0.0179673815839748
2011,0.517187923281676,0.239901051499276,0.237736750879635,0.00517427433941351
2012,0.519179736985874,0.232045359472165,0.2426079373915,0.00616696615046035
2013,0.521795993432929,0.221983554750315,0.244802621518519,0.011417830298237
2014,0.517066016841594,0.231288109214125,0.242482322464299,0.00916355147998293
2015,0.512131571328727,0.232111403218904,0.239059604611469,0.0166974208409