Land,Export,Import
België (1960),37.8006916562682,38.5006742171141
België (1970),44.4874494654761,42.5881651100536
België (1980),49.5946310994857,52.7118378320613
België (1990),60.9711512089096,59.5982621830578
België (2000),71.857548930765,69.2214451131197
België (2009),69.3097762464767,67.0469816168365
België (2015),84.4069593338658,82.7396698151229
Nederland (2015),82.7638039883756,71.5464239609061
Duitsland (2015),46.9189662579728,39.1124624078786
Frankrijk (2015),29.9923384491244,31.3679371652079
VK (2015),27.4340891539386,29.4008494937361
India (2014),22.9101463341448,25.8894136123701
VS (2015),12.5560010154346,15.5030123147072
Japan (2015),17.9005349074336,18.875398044904
China (2015),22.3740508680408,18.8264106605539