Jaar,Belgie,VS,China
1995,4.5172903,-1.48173422441891,0.221081851617378
1996,3.7800358,-1.53980253082609,0.841383476568449
1997,4.5671812,-1.63471283955479,3.85770875304515
1998,4.3815589,-2.36586010952818,3.06960977431474
1999,4.8069002,-3.05916056768176,1.93813906441788
2000,3.9592676,-3.99388261040903,1.70240200878164
2001,4.1292998,-3.72187488702505,1.30615121646426
2002,6.0047603,-4.17300310434585,2.42300025848779
2003,5.6347641,-4.52920637981977,2.60929956477199
2004,4.5303685,-5.16310971437063,3.55046307877259
2005,3.3910918,-5.69314647335678,5.83525335951648
2006,3.6800412,-5.82226126539129,8.49309096817188
2007,3.9858723,-4.96380106281171,10.0247863292093
2008,1.3571767,-4.69331216825099,9.22616815671913
2009,0.8657866,-2.66336744149402,4.80799341631459
2010,3.7021861,-2.95343499880917,3.93748072467734
2011,0.2322568,-2.96662066825167,1.81645638960583
2012,1.5124899,-2.76397370391244,2.54551335278745
2013,1.0696892,-2.19900667100358,1.56158629882531
2014,-0.1348286,-2.25999760261537,2.6802328903774
2015,0.1630312,-2.57960162246651,3.04241393893268